Pos,Age,MP,Min,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasMedCmp,PasMedAtt,PasLonCmp,PasLonAtt,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasOff,PasOut,ScaDrib,ScaFld,ScaDef,GcaDrib,GcaDef,Tkl,TouAttPen,DriSucc%,PKwon,PKcon,OG
MFFW,22,11,924,0.1,1.26,0.39,30.8,0.08,0.25,19,0,0,0,24.3,32.7,356,103.8,14.2,17.3,6.8,8.64,1.94,3.98,0.1,2.23,1.55,0.68,0.19,1.84,32.7,0,0.49,0.19,0.1,0.19,0,0.1,2.04,3.01,56.3,0,0,0
DF,35,12,1080,0,0.83,0,0,0,0,12.7,0,0,0,28.3,35.3,595.3,229.9,7.83,9.08,16.6,18.4,3.58,6.75,0,0.25,2.5,0.17,0,3.25,35.3,0.08,1,0,0,0.25,0,0,2.08,1.08,50,0,0,0
MFFW,22,5,142,0,1.25,0.63,50,0,0,15.7,0,0,0,47.5,54.4,856.3,193.8,20,21.9,20.6,21.9,6.88,10,0,5,3.75,1.88,0,6.25,54.4,0,0.63,0,0,0,0,0,2.5,1.88,40,0,0,0
MF,22,12,1079,0.08,0.5,0.08,16.7,0.17,1,22,0,0,0,55,60,955.3,178.2,25.4,27.3,23.5,24.9,5.17,6.5,0,0.42,3.83,0.67,0.08,3,60,0.33,0.42,0,0,0,0,0,1.67,0.75,76.9,0,0,0
MF,29,10,807,0,0.44,0,0,0,0,22.6,0,0,0,38.9,43,675.2,215.7,18.3,18.9,15.7,17,4.11,5.44,0.11,0.67,3.67,0.22,0,2.78,43,0.11,0.44,0.11,0,0.11,0,0,3.56,0.11,57.1,0,0,0
FWMF,19,9,101,0.91,5.45,1.82,33.3,0.17,0.5,10.9,0,0,0,5.45,12.7,78.2,26.4,4.55,5.45,0.91,2.73,0,0,0,1.82,0,0.91,0.91,0,12.7,0,0,0,0.91,0.91,0,0.91,1.82,15.5,0,0.91,0,0
FWMF,22,12,945,0.29,2.57,0.95,37,0.11,0.3,16.9,0,0,0,17.5,25.5,228.7,56.5,12.7,15.5,3.9,6.19,0.48,1.24,0.29,0.67,0.67,0.48,0.1,1.43,25.5,0.1,0.95,0.1,0.48,0.1,0,0,1.33,6.38,36.1,0,0,0
FW,25,11,768,0.24,3.29,1.29,39.3,0.07,0.18,11.8,0,0,0,13.3,18.5,213.3,50.7,7.06,8.94,4.82,6.71,1.06,1.41,0.12,1.18,1.29,0.47,0.12,1.76,18.5,0.12,0.47,0.24,0.35,0,0,0,0.59,6.12,27.8,0.12,0,0
DF,34,5,438,0,0.2,0,0,0,0,9,0,0,0,59.8,67.1,1257.3,309.8,18.2,19.4,32.4,34.9,8.78,12.2,0,0.2,2.45,0.2,0,2.86,67.1,0,1.22,0,0,0,0,0,1.02,0.41,0,0,0,0
MF,20,2,36,0,2.5,0,0,0,0,25,0,0,0,47.5,55,767.5,260,22.5,22.5,22.5,27.5,2.5,5,0,2.5,2.5,0,0,5,55,0,0,2.5,0,0,0,0,2.5,0,100,0,0,0
DF,30,8,474,0,1.32,0,0,0,0,26.3,0.19,0,0,46.2,64,994.7,434.7,18.7,22.3,16.4,21.5,10.6,17.9,0,2.45,1.89,1.32,0.75,3.96,64,0.19,1.7,0,0,0,0,0,3.4,1.13,54.5,0,0.19,0
FW,26,11,823,0.33,2.09,0.99,47.4,0.16,0.33,13,0,0,0,15.1,21.6,264.3,42.1,7.47,11.2,4.62,5.6,2.2,2.75,0.11,1.32,0.66,0.44,0.22,0.99,21.6,0,0.22,0.11,0.11,0,0,0,0.88,5.6,76.9,0,0,0
MF,23,10,900,0,0.2,0,0,0,0,29.1,0,0,0,48.2,57.8,809.9,219.3,23.3,26.3,20.1,23.9,3.8,5.8,0,1.2,4.1,0.4,0,4.7,57.8,0,1,0.1,0,0,0,0,3.6,0.2,75,0,0,0
FWMF,29,10,270,0.33,2.33,1.33,57.1,0.14,0.25,12,0,0,0,19.7,26.3,332.3,91,9.67,12,7.67,10,2,3,0,2,0.67,2.33,0.67,3.33,26.3,0.33,0,0,0.33,0,0,0,1.33,8.67,28.6,0,0,0
DF,25,10,900,0.1,0.3,0.1,33.3,0.33,1,10.2,0,0,0,37.9,46.7,878.1,268,7.4,8.9,23,25.8,7.3,11.4,0,0.1,2.6,0.1,0,2.6,46.7,0.4,1,0,0,0,0,0,1.2,0.4,100,0,0,0
MF,18,4,93,0,1,0,0,0,0,24,0,0,0,20,30,237,50,14,18,4,6,0,1,0,0,0,0,0,0,30,0,1,0,0,0,0,0,3,3,66.7,0,0,0
FW,20,7,318,0,2.86,1.71,60,0,0,16.9,0,0,0,27.4,36.9,426.9,138.3,16,20.9,8.57,9.14,2.29,4.86,0,2.29,0.86,2.29,0.86,3.14,36.9,0,0.57,0.57,0.29,0,0,0,0.86,5.14,58.3,0,0,0
FW,22,4,166,0,1.11,1.11,100,0,0,10.9,0,0,0,27.2,31.7,436.1,122.8,15.6,17.8,9.44,11.1,1.67,1.67,0.56,1.11,1.67,1.67,0.56,4.44,31.7,0,0,0,0,0.56,0,0,0.56,3.33,33.3,0,0,0
MF,22,4,116,0,1.54,1.54,100,0,0,17.6,0,0,0,33.8,48.5,675.4,227.7,14.6,17.7,13.1,17.7,6.15,10,0,1.54,5.38,0,0,5.38,48.5,0,0,0,0,0,0,0,2.31,0.77,0,0,0,0
MFFW,25,10,439,0,1.63,0.2,12.5,0,0,18.3,0.2,0,0,23.3,26.9,374.1,104.9,12.2,12.9,8.98,10.6,1.63,2.24,0,0.61,1.22,0,0,1.43,26.9,0.2,0.2,0.2,0,0,0,0,0.82,1.43,100,0,0,0
FWMF,19,4,134,0,1.33,0,0,0,0,14.3,0,0,0,12.7,14,204.7,42.7,8,8,3.33,4,1.33,2,0,0.67,0.67,0,0,1.33,14,0,0,0,0,0,0,0,2,4,50,0,0,0
DF,25,10,789,0,0.68,0.23,33.3,0,0,16.6,0,0,0,38.3,44.7,877.3,291,10.9,11.7,18.8,20.5,8.3,11.8,0,0.34,2.16,0.45,0,2.16,44.7,0,0.68,0,0,0,0,0,2.5,0.57,75,0,0,0
MF,20,3,106,0,0,0,0,0,0,0,0,0,0,40.8,49.2,727.5,134.2,18.3,20,18.3,21.7,4.17,5.83,0,1.67,2.5,1.67,0.83,3.33,49.2,0,0,0,0,0,0,0,2.5,0,50,0,0,0
DF,23,2,41,0,2,0,0,0,0,14.9,0,0,0,32,36,796,384,8,8,14,14,10,14,0,0,4,0,0,2,36,0,0,0,0,0,0,0,0,4,0,0,2,0
MF,26,10,586,0,0.62,0,0,0,0,23.6,0,0,0,40.6,48.2,870.6,204,14.6,16.9,16.3,18.8,9.23,11.1,0.31,1.69,4.92,0.31,0.15,4.46,48.2,0,0.77,0,0,0,0,0,0.92,1.08,60,0,0.15,0
